# SYNTHETIC demo — n=226 hatchery (cgar_hatchery_226) — gen_candidate_demo.py
sample_id	karyotype_class	confidence	family_id
S075	H1H2	0.928021	BL03
S076	H1H1	0.906914	BL04
S077	H1H2	0.91578	BL05
S078	H2H2	0.970954	BL06
S079	H1H1	0.945218	BL07
S080	H2H2	0.925942	BL08
S081	H1H1	0.971349	BL09
S082	H1H2	0.987277	BL10
S083	H2H2	0.966043	BL11
S084	H2H2	0.859538	BL12
S085	H2H2	0.892726	BL13
S086	H1H1	0.90308	BL14
S087	H1H2	0.850682	BL15
S088	H1H2	0.959797	BL16
S089	H1H2	0.923941	BL17
S090	H1H2	0.986	BL18
S091	H1H2	0.945361	BL01
S092	H1H2	0.850081	BL02
S093	H2H2	0.882965	BL03
S094	H2H2	0.979962	BL04
S095	H2H2	0.969736	BL05
S096	H1H2	0.912358	BL06
S097	H1H2	0.98104	BL07
S098	H1H1	0.86916	BL08
S099	H2H2	0.962904	BL09
S100	H2H2	0.985505	BL10
S101	H1H2	0.966937	BL11
S102	H1H2	0.976097	BL12
S103	H1H1	0.911365	BL13
S104	H1H2	0.961207	BL14
S105	H1H2	0.945283	BL15
S106	H2H2	0.908638	BL16
S107	H1H2	0.85424	BL17
S108	H2H2	0.916645	BL18
S109	H1H2	0.922754	BL01
S110	H1H1	0.881088	BL02
S111	H1H2	0.885715	BL03
S112	H2H2	0.884527	BL04
S113	H1H1	0.97134	BL05
S114	H1H2	0.85392	BL06
S115	H2H2	0.946073	BL07
S116	H1H2	0.958442	BL08
S117	H1H2	0.881484	BL09
S118	H2H2	0.937509	BL10
S119	H2H2	0.875711	BL11
S120	H1H2	0.946759	BL12
S121	H1H2	0.934345	BL13
S122	H1H2	0.955639	BL14
S123	H1H2	0.919705	BL15
S124	H2H2	0.893487	BL16
S125	H1H2	0.939126	BL17
S126	H1H1	0.969982	BL18
S127	H1H2	0.97658	BL01
S128	H1H2	0.871582	BL02
S129	H1H2	0.945552	BL03
S130	H1H2	0.93892	BL04
S131	H1H2	0.984287	BL05
S132	H1H2	0.961683	BL06
S133	H1H1	0.921003	BL07
S134	H1H1	0.868445	BL08
S135	H1H2	0.976607	BL09
S136	H1H2	0.906388	BL10
S137	H1H2	0.934708	BL11
S138	H1H2	0.899199	BL12
S139	H2H2	0.927788	BL13
S140	H1H2	0.964531	BL14
S141	H2H2	0.910509	BL15
S142	H1H1	0.892744	BL16
S143	H2H2	0.874058	BL17
S144	H1H2	0.960928	BL18
S145	H1H1	0.968923	BL01
S146	H1H2	0.904306	BL02
S147	H1H2	0.865697	BL03
S148	H2H2	0.911384	BL04
S149	H2H2	0.956967	BL05
S150	H1H1	0.965154	BL06
S151	H2H2	0.883842	BL07
S152	H1H2	0.878774	BL08
S153	H1H2	0.955258	BL09
S154	H1H2	0.924617	BL10
S155	H1H1	0.970838	BL11
S156	H1H2	0.966255	BL12
S157	H1H1	0.954349	BL13
S158	H1H1	0.927909	BL14
S159	H1H2	0.976216	BL15
S160	H1H1	0.916219	BL16
S161	H1H2	0.904027	BL17
S162	H1H1	0.943253	BL18
S163	H2H2	0.900535	BL01
S164	H2H2	0.897429	BL02
S165	H1H2	0.913664	BL03
S166	H2H2	0.95912	BL04
S167	H1H2	0.85555	BL05
S168	H1H2	0.852082	BL06
S169	H1H1	0.902691	BL07
S170	H1H2	0.864564	BL08
S171	H1H2	0.959534	BL09
S172	H2H2	0.978246	BL10
S173	H1H2	0.874975	BL11
S174	H2H2	0.909263	BL12
S175	H1H2	0.965382	BL13
S176	H1H2	0.983337	BL14
S177	H2H2	0.982431	BL15
S178	H1H1	0.982057	BL16
S179	H1H2	0.947524	BL17
S180	H1H2	0.884178	BL18
S181	H1H2	0.873798	BL01
S182	H2H2	0.866712	BL02
S183	H1H2	0.938691	BL03
S184	H1H2	0.879915	BL04
S185	H1H2	0.882775	BL05
S186	H1H1	0.953601	BL06
S187	H1H2	0.893422	BL07
S188	H2H2	0.928309	BL08
S189	H1H2	0.985106	BL09
S190	H1H2	0.96334	BL10
S191	H2H2	0.850407	BL11
S192	H2H2	0.908895	BL12
S193	H1H2	0.982419	BL13
S194	H1H2	0.883831	BL14
S195	H1H1	0.973967	BL15
S196	H1H2	0.949563	BL16
S197	H1H2	0.987193	BL17
S198	H2H2	0.981013	BL18
S199	H1H2	0.977442	BL01
S200	H1H2	0.86739	BL02
S201	H1H2	0.853993	BL03
S202	H2H2	0.895486	BL04
S203	H1H2	0.890715	BL05
S204	H1H2	0.925249	BL06
S205	H2H2	0.852015	BL07
S206	H1H2	0.884522	BL08
S207	H2H2	0.911449	BL09
S208	H1H2	0.981216	BL10
S209	H1H2	0.903832	BL11
S210	H1H2	0.883138	BL12
S211	H2H2	0.890169	BL13
S212	H1H2	0.930024	BL14
S213	H2H2	0.953602	BL15
S214	H1H2	0.982978	BL16
S215	H2H2	0.981293	BL17
S216	H2H2	0.913606	BL18
S217	H1H2	0.970439	BL01
S218	H1H2	0.954736	BL02
S219	H1H2	0.901154	BL03
S220	H1H1	0.952223	BL04
S221	H1H2	0.919166	BL05
S222	H2H2	0.966471	BL06
S223	H2H2	0.942891	BL07
S224	H1H2	0.98004	BL08
S225	H1H1	0.907753	BL09
S226	H2H2	0.968354	BL10
