# SYNTHETIC demo — local-PCA per-window summaries — gen_candidate_demo.py
window_id	chrom	start	end	pc1_median_H1H1	pc1_median_H1H2	pc1_median_H2H2	pc2_median_H1H1	pc2_median_H1H2	pc2_median_H2H2	window_cluster_continuity
LRR01_W060	C_gar_LG28	7100000	7199999	-0.675417	-0.024373	0.757672	0.047969	0.00362	-0.00891	0.937392
LRR01_W061	C_gar_LG28	7200000	7299999	-0.769368	0.010971	0.703728	0.041425	-0.003843	0.015471	0.941407
LRR01_W062	C_gar_LG28	7300000	7399999	-0.724056	0.01587	0.711563	0.015051	0.010694	-0.002142	0.94759
LRR01_W063	C_gar_LG28	7400000	7499999	-0.732983	0.005933	0.702486	0.034034	0.040259	0.027038	0.954783
LRR01_W064	C_gar_LG28	7500000	7599999	-0.715002	0.014113	0.756455	0.020179	-0.017963	-0.005557	0.958282
LRR01_W065	C_gar_LG28	7600000	7699999	-0.742324	-0.010396	0.695219	0.003089	-0.007233	-0.032632	0.887869
LRR01_W066	C_gar_LG28	7700000	7799999	-0.678199	0.010874	0.699824	0.033499	-0.003904	-0.009397	0.944915
LRR01_W067	C_gar_LG28	7800000	7899999	-0.692689	-0.01289	0.743378	0.036362	-0.026497	0.008328	0.920822
LRR01_W068	C_gar_LG28	7900000	7999999	-0.702071	0.006551	0.703088	0.004767	0.01192	-0.017093	0.863846
LRR01_W069	C_gar_LG28	8000000	8099999	-0.703881	-0.000689	0.694066	-0.035412	-0.006281	0.018635	0.954098
LRR01_W070	C_gar_LG28	8100000	8199999	-0.685404	-0.017509	0.742305	-0.042876	-0.049917	-0.036947	0.918681
LRR01_W071	C_gar_LG28	8200000	8299999	-0.754638	0.026579	0.761483	0.038182	-0.047503	0.030405	0.901309
LRR01_W072	C_gar_LG28	8300000	8399999	-0.744183	-0.028852	0.767264	0.045366	0.009637	0.019471	0.920088
