# SYNTHETIC demo — n=226 hatchery (cgar_hatchery_226) — gen_candidate_demo.py
sample_id	karyotype_class	confidence	family_id
S206	H1H2	0.914323	BL08
S207	H1H2	0.912415	BL09
S208	H1H2	0.98465	BL10
S209	H2H2	0.92659	BL11
S210	H1H2	0.985193	BL12
S211	H1H2	0.899922	BL13
S212	H1H1	0.903428	BL14
S213	H1H2	0.920387	BL15
S214	H1H2	0.920663	BL16
S215	H1H1	0.886984	BL17
S216	H1H1	0.905932	BL18
S217	H1H1	0.853149	BL01
S218	H1H2	0.882593	BL02
S219	H2H2	0.924087	BL03
S220	H2H2	0.942056	BL04
S221	H2H2	0.973073	BL05
S222	H1H2	0.895659	BL06
S223	H2H2	0.870925	BL07
S224	H2H2	0.940051	BL08
S225	H1H1	0.966941	BL09
S226	H2H2	0.937826	BL10
